First Name,Last Name,Upstream Data (MB),Downstream Data (MB),App Name,Timestamp
Amy,Patterson,27.93,335.86,TikTok,2024-02-13 19:29:22
Hunter,Benson,26.51,429.77,WhatsApp,2024-01-26 16:33:17
Brittany,Duran,46.07,4.79,Instagram,2023-09-12 11:12:13
Lauren,Cook,88.72,423.51,Facebook,2023-09-08 13:48:17
Jonathan,Brady,4.18,256.66,WhatsApp,2023-08-24 23:17:13
Joshua,Hall,6.48,241.34,Snapchat,2024-05-17 03:57:14
Michael,Fernandez,12.19,92.02,Snapchat,2024-03-17 07:32:30
Luis,Wilson,18.57,387.96,YouTube,2024-05-06 10:18:12
Joseph,Mills,80.49,321.86,Facebook,2023-09-30 23:27:47
Jeanette,Diaz,76.21,302.35,Twitter,2023-07-05 19:54:44
Eric,Morgan,99.1,423.12,WhatsApp,2024-01-01 20:42:01
Adrian,Mcgee,52.58,86.84,Snapchat,2023-12-02 03:59:24
Adam,Johnson,91.22,366.93,Twitter,2024-02-23 23:31:56
Sean,Anderson,37.04,294.71,Facebook,2023-06-04 10:06:47
Gregory,Porter,43.04,265.16,TikTok,2023-10-14 10:02:30
Pamela,Cameron,86.33,5.75,TikTok,2023-11-12 17:09:45
Kimberly,Riley,87.14,209.01,Twitter,2023-07-30 19:24:49
Stacey,Mayo,74.24,376.22,YouTube,2024-01-06 16:21:48
Gregory,Wright,64.37,79.87,Snapchat,2024-04-11 18:21:48
Robert,Perez,14.43,76.35,Instagram,2024-04-04 20:19:31
Timothy,Warren,27.48,299.6,Instagram,2023-12-04 12:38:46
Scott,Jordan,22.16,300.99,Facebook,2023-10-23 19:20:52
Jessica,Bass,15.98,2.17,Instagram,2023-07-27 05:04:03
Mark,Smith,32.45,5.33,Facebook,2023-10-11 13:20:22
Andrea,Hernandez,61.5,98.07,Instagram,2023-09-22 02:23:04
Jennifer,Smith,73.0,217.85,Twitter,2023-08-10 23:44:13
Diane,Russell,25.7,229.19,YouTube,2024-03-08 05:57:29
Elizabeth,Cox,41.25,54.85,Snapchat,2023-11-02 10:54:38
William,Paul,95.65,458.34,Facebook,2023-12-18 16:04:23
Michelle,Andrews,17.78,466.32,Instagram,2023-07-26 05:14:57
Robert,Mosley,41.64,430.41,WhatsApp,2024-03-09 09:14:20
Angela,Lopez,25.46,39.14,YouTube,2024-04-13 08:16:12
Luis,Hale,59.92,495.96,WhatsApp,2024-05-05 23:37:00
Dustin,Hall,6.97,498.54,Instagram,2023-08-18 19:52:53
Rachel,Flynn,6.99,493.54,WhatsApp,2023-07-19 20:59:37
Jimmy,Harris,39.65,126.8,Snapchat,2023-11-23 07:43:00
Cynthia,Green,74.61,241.31,TikTok,2023-12-03 00:58:29
Tim,Cooper,56.21,325.39,Twitter,2024-02-07 20:12:48
Brittany,Strickland,33.66,81.31,Facebook,2023-08-22 10:40:11
Valerie,Cuevas,74.23,348.21,Facebook,2023-07-24 04:55:08
Sarah,Baker,63.85,130.56,Instagram,2024-05-21 04:52:55
Michael,Garcia,47.91,95.44,TikTok,2023-10-23 17:54:24
Bryce,Lopez,68.31,183.62,Snapchat,2023-11-29 22:42:36
Pamela,Evans,58.86,378.57,YouTube,2024-01-28 12:22:09
Scott,Torres,54.03,230.48,Twitter,2023-12-14 09:42:13
Anita,Kennedy,95.94,199.67,Snapchat,2024-02-16 10:53:26
Justin,Freeman,78.25,324.59,WhatsApp,2024-01-25 03:35:53
Natasha,Cochran,63.0,272.62,Snapchat,2023-11-09 16:16:36
Scott,Robbins,95.63,470.81,Instagram,2023-08-09 19:44:47
Cynthia,Stewart,32.62,278.67,Instagram,2023-06-30 06:42:10
Jeffrey,Wilson,37.89,499.25,WhatsApp,2023-07-03 22:10:39
Michael,Williams,29.7,49.5,WhatsApp,2024-05-28 00:13:18
Mark,Dawson,87.16,323.71,YouTube,2023-08-31 19:17:30
Christine,Nash,66.74,440.28,Instagram,2024-03-12 23:25:45
Michelle,Jones,75.08,411.42,Instagram,2023-10-05 07:24:11
Todd,Jimenez,27.73,344.82,Snapchat,2024-03-08 20:00:14
Martha,Hall,42.36,460.82,WhatsApp,2023-07-10 10:56:05
Whitney,Middleton,76.61,186.64,Snapchat,2023-06-12 16:52:34
Mark,Brooks,63.35,160.99,Twitter,2024-01-18 11:53:44
Tami,Davis,0.57,195.95,YouTube,2023-10-25 22:11:06
Joe,Guzman,99.71,223.86,TikTok,2024-05-10 23:43:19
William,James,5.96,425.77,YouTube,2023-06-19 17:06:52
Angel,Brown,74.03,284.36,WhatsApp,2024-03-31 18:35:43
Gary,Brown,19.66,127.84,Twitter,2023-09-02 06:55:11
Breanna,Kim,76.89,369.54,TikTok,2024-01-14 02:16:05
Joseph,Allen,2.19,335.55,Instagram,2023-07-09 07:27:37
Amanda,Gay,70.0,236.07,YouTube,2024-04-06 04:00:47
Savannah,Smith,6.91,157.29,WhatsApp,2024-02-23 03:23:17
Austin,Adams,72.75,205.04,Instagram,2023-10-01 16:51:12
Sheri,Mccoy,83.25,22.22,Twitter,2024-05-21 05:55:59
Jeffrey,Malone,67.23,339.1,Twitter,2024-02-15 07:14:14
Lisa,Peters,35.7,180.69,Twitter,2023-08-07 14:06:53
Adrian,Mcknight,63.04,188.17,Twitter,2023-10-09 10:50:05
Shirley,Chen,22.87,450.31,YouTube,2024-01-11 21:28:42
Jack,Shaffer,73.82,41.78,Instagram,2024-04-28 04:59:02
Nathan,Murphy,58.05,463.03,TikTok,2023-10-29 22:19:03
Walter,Vargas,30.58,255.36,Twitter,2024-04-13 12:24:24
Kristie,Morgan,87.95,210.97,WhatsApp,2024-03-18 06:59:56
Justin,Huffman,67.71,14.92,Snapchat,2024-04-03 08:17:10
Donna,Henson,20.19,257.47,Facebook,2024-04-24 16:36:19
David,Wilson,48.5,89.75,TikTok,2023-07-10 20:28:16
Jamie,Baker,71.08,313.74,Snapchat,2023-08-09 19:22:36
William,Wong,88.38,131.59,Instagram,2024-03-17 21:58:38
James,Cunningham,26.86,466.46,YouTube,2024-02-13 07:19:24
Savannah,Abbott,51.47,432.6,Snapchat,2024-01-03 17:05:22
Ebony,Lara,49.83,57.89,YouTube,2023-12-20 08:12:54
Earl,Harris,7.78,451.41,WhatsApp,2023-10-21 19:21:43
Kenneth,Payne,46.07,276.16,Facebook,2023-08-16 21:29:13
Rebecca,Bishop,32.26,132.93,Snapchat,2024-05-05 17:10:21
