First Name,Last Name,Network Provider,Total Data (GB),Age,Upstream Data (MB),Downstream Data (MB),App Name,Timestamp,City,State,Country,Zip code
Annette,Williams,T-Mobile,3.866681,98,27.93,335.86,TikTok,2024-02-13 19:29:22,Margaretborough,Maine,Germany,3019
William,Fischer,Verizon,8.423006,21,26.51,429.77,WhatsApp,2024-01-26 16:33:17,Lake Lindsey,Rhode Island,Kazakhstan,89353
Roger,Schmitt,AT&T,5.36622,48,46.07,4.79,Instagram,2023-09-12 11:12:13,Port Adammouth,Louisiana,Bhutan,3073
Sara,Floyd,Sprint,7.756982,100,88.72,423.51,Facebook,2023-09-08 13:48:17,West Sandrafort,Minnesota,Burundi,52249
Connie,Peterson,T-Mobile,8.211663,73,4.18,256.66,WhatsApp,2023-08-24 23:17:13,South Jon,Illinois,Lao People's Democratic Republic,87357
Stephen,Rodriguez,Sprint,1.797036,45,6.48,241.34,Snapchat,2024-05-17 03:57:14,Robertchester,Nebraska,Montenegro,6312
Suzanne,Wolf,Verizon,1.019532,73,12.19,92.02,Snapchat,2024-03-17 07:32:30,Hoffmanburgh,North Carolina,Saint Vincent and the Grenadines,66478
Dana,Casey,Sprint,9.271229,97,18.57,387.96,YouTube,2024-05-06 10:18:12,Port Jenniferhaven,Oregon,Iceland,23374
Kimberly,Herrera,Verizon,5.781426,98,80.49,321.86,Facebook,2023-09-30 23:27:47,Sarahport,North Dakota,Cocos (Keeling) Islands,14990
John,Jones,T-Mobile,0.887981,73,76.21,302.35,Twitter,2023-07-05 19:54:44,West Cindy,Michigan,Saint Kitts and Nevis,43398
Christine,Mercado,Sprint,3.70114,24,99.1,423.12,WhatsApp,2024-01-01 20:42:01,Bankstown,Iowa,Palau,74492
Brian,Parker,AT&T,6.598998,47,52.58,86.84,Snapchat,2023-12-02 03:59:24,Joshualand,Virginia,British Virgin Islands,82439
Terrance,Stanley,Sprint,4.15733,28,91.22,366.93,Twitter,2024-02-23 23:31:56,West Edwardmouth,Nebraska,Finland,11830
Theresa,Cain,T-Mobile,4.946172,46,37.04,294.71,Facebook,2023-06-04 10:06:47,Ginabury,Alabama,India,17726
Richard,Hall,Verizon,9.282259,84,43.04,265.16,TikTok,2023-10-14 10:02:30,West Ryanshire,Alabama,Kiribati,66259
