First Name,Last Name,Age,Upstream Data (MB),Downstream Data (MB),Total Data (GB),App Name,Network Provider,City,State,Country,Zipcode
Latasha,Nelson,52,96.98766762,3647.408205,3.656636594,Facebook,T-Mobile,West Jamesmouth,Alabama,USA,80088
Suzanne,DDS,60,686.2493717,1907.561135,2.533018073,YouTube,Verizon,North Brian,North Dakota,USA,68169
Erica,Bartlett,71,584.7140839,741.2025641,1.294840477,WhatsApp,Sprint,Devinfort,Alabama,USA,25530
Stephanie,Smith,89,598.6046001,1092.38859,1.651360538,Twitter,Sprint,Hermanmouth,Texas,USA,29092
Holly,Rodriguez,94,297.9552958,3721.303425,3.925057345,Instagram,Sprint,Stephaniehaven,Rhode Island,USA,94901
Douglas,Vasquez,85,273.832228,780.2949783,1.0294211,Instagram,AT&T,Ryanbury,Tennessee,USA,77586
Shannon,Keller,75,764.9097609,1153.586189,1.873531202,WhatsApp,T-Mobile,Danaton,North Dakota,USA,14563
Anthony,Owen,78,264.2453462,2151.535632,2.359161111,YouTube,Verizon,Floreshaven,Minnesota,USA,36334
Sarah,Flores,44,451.7996293,406.9565319,0.838629064,Zoom,T-Mobile,South Sarah,Mississippi,USA,42717
Sarah,Kim,47,697.8411086,1102.825701,1.758463681,Facebook,Sprint,Jordantown,Minnesota,USA,61696
Christopher,Gates,42,88.82008881,791.3522303,0.85954328,Zoom,Verizon,Swansonton,North Carolina,USA,19073
Zachary,Chavez,72,598.6028988,4759.042825,5.232075903,Spotify,Verizon,North Daniellefort,Alabama,USA,26996
Ryan,Patrick,42,593.4826089,998.0531334,1.554234123,YouTube,Sprint,South Brian,Kansas,USA,38321
Amanda,Hardy,56,687.3864238,4315.760065,4.885885243,Instagram,T-Mobile,Davidhaven,Oregon,USA,12603
Natasha,Brooks,26,376.2288144,618.2510468,0.971171739,Netflix,Sprint,West Marissaville,Wisconsin,USA,13886
Daniel,Banks,62,454.4899763,4354.882005,4.696652325,WhatsApp,T-Mobile,Davisburgh,South Carolina,USA,73239
Evan,Davis,22,336.6696208,3017.197242,3.275260608,WhatsApp,Verizon,New Lindseytown,Rhode Island,USA,13293
Denise,Foster,69,810.0865647,4256.04432,4.947393442,TikTok,Verizon,Thomasburgh,Idaho,USA,23021
Lauren,Jones,41,139.3046524,4343.376008,4.377617833,Facebook,Sprint,Christinahaven,Missouri,USA,85714
Daniel,Huffman,92,963.324414,3002.048977,3.872434952,Instagram,Verizon,Nelsonshire,Missouri,USA,2146
Joseph,Miller,48,638.4877944,4592.586059,5.10847056,YouTube,AT&T,Port Tiffanyside,New Hampshire,USA,81011
Dwayne,Carter,45,888.0376571,2947.969043,3.746100293,WhatsApp,Verizon,Rodriguezfort,Connecticut,USA,53269
Danny,Kim,54,431.9691437,3577.197135,3.915201445,Twitter,AT&T,Nortonland,Louisiana,USA,67615
Joseph,Lambert,34,338.9562797,2109.598362,2.391166642,Facebook,Verizon,Johnfurt,New York,USA,10597
Robert,Neal,49,901.718552,4574.635088,5.348001601,Zoom,Sprint,Joyceburgh,Tennessee,USA,39110
Tracy,Bennett,23,107.8842986,4129.604568,4.138172721,Zoom,Sprint,New Samanthatown,Indiana,USA,29009
Eric,Mcgee,47,125.9361592,875.2299025,0.977701232,Twitter,AT&T,South William,Oregon,USA,32756
Ivan,Montgomery,67,306.3533087,2903.119859,3.13425114,Facebook,Sprint,West Lindsay,Massachusetts,USA,12655
Sharon,Martin,66,960.1772319,4489.295279,5.321750499,WhatsApp,Verizon,Michellestad,Tennessee,USA,98517
Jeff,West,84,636.7379238,3975.669244,4.504303874,YouTube,Verizon,Haroldmouth,Mississippi,USA,47395
Danielle,Marshall,87,558.6517596,4814.636264,5.247351586,YouTube,Sprint,Stacyville,Arkansas,USA,74454
Angel,Walls,72,708.302773,1194.94335,1.858638792,Facebook,Verizon,Katiemouth,Oregon,USA,87320
Peter,Gallagher,86,423.2998105,1868.925184,2.238500971,Netflix,T-Mobile,South Melanie,Connecticut,USA,63326
Benjamin,Jones,99,760.4927664,2560.599846,3.243254504,Instagram,T-Mobile,Lake Paulberg,Washington,USA,13985
Jane,Bartlett,51,399.298391,1201.712392,1.563487092,YouTube,Verizon,South Jamesshire,Texas,USA,34947
Patrick,Perry,89,828.099553,2000.524013,2.762327701,TikTok,Sprint,Hopkinsbury,Virginia,USA,6167
Daniel,Banks,69,274.6221313,2710.819062,2.915469915,Zoom,AT&T,Lake Stevenport,Massachusetts,USA,76287
Joseph,Gutierrez,35,284.7711927,997.1290549,1.251855711,WhatsApp,Sprint,Christinaland,Texas,USA,80040
James,Mcgrath,46,527.1594724,1320.604703,1.804457202,Zoom,AT&T,New Elainehaven,Louisiana,USA,69434
Tanya,Tapia,80,436.4535468,667.9703741,1.078538985,YouTube,Sprint,South Jennifer,Kentucky,USA,53496
Brandon,Lucas,99,651.6346858,3581.237979,4.133664712,Facebook,Verizon,Houstonfort,Virginia,USA,24962
Ashley,Owens,36,370.6478471,1839.682036,2.158525277,Twitter,T-Mobile,Nicholsonmouth,Oregon,USA,15868
Julie,Martin,83,238.2451426,1140.317458,1.34625254,Spotify,Sprint,Robertland,Pennsylvania,USA,90187
Joy,Peterson,88,475.1104773,2561.254538,2.965200211,Zoom,AT&T,West Debramouth,Idaho,USA,10303
Deborah,Stevens,61,565.3469345,387.8340631,0.930840818,Snapchat,T-Mobile,Williamfurt,Illinois,USA,22644
Steven,Nelson,30,151.1740533,4620.862701,4.660192143,Netflix,AT&T,Katieview,Delaware,USA,26331
Joshua,Chavez,37,561.1514395,1507.61423,2.020278974,YouTube,Verizon,Port Laurenborough,Virginia,USA,28997
Sean,Arnold,23,326.0641382,4437.998524,4.652404943,Snapchat,T-Mobile,Meganchester,New York,USA,63636
Daniel,Floyd,43,398.527366,2513.219323,2.843502626,TikTok,AT&T,Brownburgh,Arizona,USA,75460
Matthew,Blevins,83,286.5249478,4258.244964,4.438251867,Twitter,Sprint,Robertview,Alabama,USA,55812
Timothy,Riley,96,932.0962245,1272.968982,2.153383991,TikTok,Verizon,New Amber,Kentucky,USA,87214
Shawn,Anderson,62,686.5029185,917.5894811,1.566496484,YouTube,Verizon,East Nicholasside,Illinois,USA,12896
Ricky,Martin,45,269.8357083,4254.588426,4.418382944,Zoom,Verizon,Hodgeston,Illinois,USA,45732
Ian,Weaver,84,648.5810212,1103.973218,1.711478749,WhatsApp,Sprint,South Kristen,Illinois,USA,45966
Ryan,Snow,27,850.0866855,3743.666979,4.486087563,Snapchat,Sprint,Williamsbury,Vermont,USA,31237
Lindsey,Glover,76,407.6139062,1755.689784,2.11260126,WhatsApp,T-Mobile,Morganfort,Virginia,USA,89857
William,Gay,63,831.6579341,3753.558946,4.477750859,TikTok,Sprint,Rioschester,Illinois,USA,98302
Keith,Mccarthy,100,162.8707949,4542.849017,4.595429503,TikTok,T-Mobile,Lake Jeremiah,Alaska,USA,49931
Ricardo,Osborn,96,824.5535512,4909.110235,5.599281041,Instagram,Verizon,North Amystad,Maine,USA,19043
Hannah,Drake,72,544.8913002,1831.056912,2.320261926,Facebook,T-Mobile,Murphyville,Ohio,USA,68849
Michelle,Cole,29,230.7447431,1869.252881,2.05077893,Zoom,AT&T,West Maria,Massachusetts,USA,28455
Scott,Morris,56,413.0699707,4907.869297,5.196229754,WhatsApp,Verizon,North Amberton,Idaho,USA,98838
Anthony,Coleman,82,988.1130625,4314.564245,5.178395808,Facebook,Verizon,Sanchezland,Alabama,USA,43408
Amy,Martinez,71,785.7204565,273.205261,1.034107146,TikTok,T-Mobile,Edwardmouth,Delaware,USA,8577
Kelly,Mcclain,21,579.3354978,2888.577432,3.38663372,Twitter,Verizon,North Dustin,Alaska,USA,48076
Mr.,Anderson,38,124.0122728,947.1616192,1.046068254,Spotify,Sprint,Meganport,Nevada,USA,69239
