First Name,Last Name,Network Provider,Total Data (GB),Age
Latasha,Nelson,T-Mobile,3.656636594,52
Suzanne,DDS,Verizon,2.533018073,60
Erica,Bartlett,Sprint,1.294840477,71
Stephanie,Smith,Sprint,1.651360538,89
Holly,Rodriguez,Sprint,3.925057345,94
Douglas,Vasquez,AT&T,1.0294211,85
Shannon,Keller,T-Mobile,1.873531202,75
Anthony,Owen,Verizon,2.359161111,78
Sarah,Flores,T-Mobile,0.838629064,44
Sarah,Kim,Sprint,1.758463681,47
Christopher,Gates,Verizon,0.85954328,42
Zachary,Chavez,Verizon,5.232075903,72
Ryan,Patrick,Sprint,1.554234123,42
Amanda,Hardy,T-Mobile,4.885885243,56
Natasha,Brooks,Sprint,0.971171739,26
Daniel,Banks,T-Mobile,4.696652325,62
Evan,Davis,Verizon,3.275260608,22
Denise,Foster,Verizon,4.947393442,69
Lauren,Jones,Sprint,4.377617833,41
Daniel,Huffman,Verizon,3.872434952,92
Joseph,Miller,AT&T,5.10847056,48
Dwayne,Carter,Verizon,3.746100293,45
Danny,Kim,AT&T,3.915201445,54
Joseph,Lambert,Verizon,2.391166642,34
Robert,Neal,Sprint,5.348001601,49
Tracy,Bennett,Sprint,4.138172721,23
Eric,Mcgee,AT&T,0.977701232,47
Ivan,Montgomery,Sprint,3.13425114,67
Sharon,Martin,Verizon,5.321750499,66
Jeff,West,Verizon,4.504303874,84
Danielle,Marshall,Sprint,5.247351586,87
Angel,Walls,Verizon,1.858638792,72
Peter,Gallagher,T-Mobile,2.238500971,86
Benjamin,Jones,T-Mobile,3.243254504,99
Jane,Bartlett,Verizon,1.563487092,51
Patrick,Perry,Sprint,2.762327701,89
Daniel,Banks,AT&T,2.915469915,69
Joseph,Gutierrez,Sprint,1.251855711,35
James,Mcgrath,AT&T,1.804457202,46
Tanya,Tapia,Sprint,1.078538985,80
Brandon,Lucas,Verizon,4.133664712,99
Ashley,Owens,T-Mobile,2.158525277,36
Julie,Martin,Sprint,1.34625254,83
Joy,Peterson,AT&T,2.965200211,88
Deborah,Stevens,T-Mobile,0.930840818,61
Steven,Nelson,AT&T,4.660192143,30
Joshua,Chavez,Verizon,2.020278974,37
Sean,Arnold,T-Mobile,4.652404943,23
Daniel,Floyd,AT&T,2.843502626,43
Matthew,Blevins,Sprint,4.438251867,83
Timothy,Riley,Verizon,2.153383991,96
Shawn,Anderson,Verizon,1.566496484,62
Ricky,Martin,Verizon,4.418382944,45
Ian,Weaver,Sprint,1.711478749,84
Ryan,Snow,Sprint,4.486087563,27
Lindsey,Glover,T-Mobile,2.11260126,76
William,Gay,Sprint,4.477750859,63
Keith,Mccarthy,T-Mobile,4.595429503,100
Ricardo,Osborn,Verizon,5.599281041,96
Hannah,Drake,T-Mobile,2.320261926,72
Michelle,Cole,AT&T,2.05077893,29
Scott,Morris,Verizon,5.196229754,56
Anthony,Coleman,Verizon,5.178395808,82
Amy,Martinez,T-Mobile,1.034107146,71
Kelly,Mcclain,Verizon,3.38663372,21
Mr.,Anderson,Sprint,1.046068254,38
Sara,Tate,AT&T,5.267573751,48
Tabitha,Beltran,T-Mobile,0.984462803,18
Lisa,Mason,T-Mobile,2.831114991,66
Sarah,Eaton,Verizon,3.798353786,67
Jennifer,Garza,Sprint,5.448011605,80
Elizabeth,Cantrell,Verizon,4.807395031,63
Valerie,Velazquez,Verizon,1.487958694,29
Lauren,Rodriguez,T-Mobile,3.381188789,42
Holly,Maldonado,Verizon,5.58007132,51
Katie,Taylor,AT&T,4.313949507,80
Stephanie,Williamson,Verizon,4.052582114,27
Thomas,Gonzalez,Verizon,4.643786062,41
Cheryl,Richardson,T-Mobile,2.389931849,41
Shawn,Wagner,Verizon,3.71587504,49
Greg,Garcia,Sprint,1.520302496,35
Jennifer,Daniel,T-Mobile,3.061130869,40
Daniel,Rich,Verizon,4.833941392,45
Lisa,Camacho,AT&T,0.258230709,18
Samantha,Martinez,AT&T,2.504781396,72
Carrie,Copeland,T-Mobile,2.022256882,77
Michelle,Carlson,T-Mobile,1.982999357,95
Raven,Luna,Verizon,4.425404883,51
Jason,Poole,Sprint,3.922474552,65
Amy,Morgan,Verizon,1.453531117,27
Michael,Juarez,AT&T,2.792292981,29
Eric,Roth,Sprint,2.421242687,75
Robin,Thomas,Sprint,1.664999118,57
Eric,Bradford,Sprint,4.396857196,95
Gabriel,Owen,Verizon,2.317179719,26
Dale,Chapman,AT&T,4.342363408,99
Jason,Ferguson,T-Mobile,0.990440627,67
Carly,Oneal,Verizon,2.481868651,82
Patrick,Scott,T-Mobile,0.868098403,90
John,Walsh,Sprint,1.135922782,21
Robin,Sullivan,Sprint,4.496217219,72
Joseph,Richards,Verizon,0.951638365,77
